# Ionization energy in eV of H-like, He-like, and Li-like ions, retrieved from NIST Atomic Spectra Database Ionization Energies Form.
Element,Q,Ionization,Uncertainty
Cf,95,38443.5,1.0
Cf,96,150579.3,1.4
Cf,97,153124,5
Es,96,39451.4,1.0
Es,97,154328.1,1.5
Es,98,156926,5
Fm,97,40482.2,1.1
Fm,98,158152.5,1.5
Fm,99,160804,6
Md,98,41548,6
Md,99,,
Md,100,164764,6
No,99,42632,6
No,100,,
No,101,168806,7
Lr,100,43759,6
Lr,101,,
Lr,102,172930,7
Rf,101,,
Rf,102,,
Rf,103,177148,8
Db,102,,
Db,103,,
Db,104,181444,9
Sg,103,,
Sg,104,,
Sg,105,185839,10
Bh,104,,
Bh,105,,
Bh,106,190331,11
Hs,105,,
Hs,106,,
Hs,107,194917,12
Mt,106,,
Mt,107,,
Mt,108,199606,14
Ds,107,,
Ds,108,,
Ds,109,204400,15
